Method,n,MAE,MSE,R2
NDVI,42,0.732372747861904,0.9948320397972565,0.8398772826183936
NDWI,42,0.7662595095333329,1.0643928001080631,0.8286811635565599
SAVI,42,0.7261646048999996,0.9429543169071457,0.8482272368100855
OSAVI,42,0.732372747861904,0.9948320397972565,0.8398772826183936
EVI,42,0.6755351365000001,0.8492733557332411,0.8633056113195589
NDRE,42,0.8525986668380942,1.2222953497380662,0.803266033849446
SNAP,42,0.7625267411730148,1.0812104952369097,0.8259742794430616
Copernicus,42,0.8915202493450485,1.3774717076931284,0.7782896970255845
