Field_Date,Method,n,Raw_Spearman_rho,Raw_p,Orientation_multiplier,Oriented_Spearman_rho,Oriented_p
2021-05-10,NDVI,8,0.1666666666666667,0.693238811728395,1.0,0.1666666666666667,0.693238811728395
2021-05-10,NDWI,8,-0.3333333333333334,0.4197530864197532,-1.0,0.3333333333333334,0.4197530864197532
2021-05-10,SAVI,8,0.3333333333333334,0.4197530864197532,1.0,0.3333333333333334,0.4197530864197532
2021-05-10,OSAVI,8,0.1666666666666667,0.693238811728395,1.0,0.1666666666666667,0.693238811728395
2021-05-10,EVI,8,0.3333333333333334,0.4197530864197532,1.0,0.3333333333333334,0.4197530864197532
2021-05-10,NDRE,8,0.14285714285714288,0.735764859879812,1.0,0.14285714285714288,0.735764859879812
2021-05-10,SNAP,8,-0.30952380952380953,0.4556448907375822,1.0,-0.30952380952380953,0.4556448907375822
2021-05-10,Copernicus,8,0.2142857142857143,0.6103444156452669,1.0,0.2142857142857143,0.6103444156452669
2021-06-15,NDVI,8,0.19047619047619052,0.6514014957024814,1.0,0.19047619047619052,0.6514014957024814
2021-06-15,NDWI,8,-0.09523809523809526,0.8225054302036114,-1.0,0.09523809523809526,0.8225054302036114
2021-06-15,SAVI,8,0.11904761904761905,0.7788857260523796,1.0,0.11904761904761905,0.7788857260523796
2021-06-15,OSAVI,8,0.19047619047619052,0.6514014957024814,1.0,0.19047619047619052,0.6514014957024814
2021-06-15,EVI,8,0.30952380952380953,0.4556448907375822,1.0,0.30952380952380953,0.4556448907375822
2021-06-15,NDRE,8,-0.11904761904761905,0.7788857260523796,1.0,-0.11904761904761905,0.7788857260523796
2021-06-15,SNAP,8,-0.04790505047653036,0.9103153570041667,1.0,-0.04790505047653036,0.9103153570041667
2021-06-15,Copernicus,8,0.30952380952380953,0.4556448907375822,1.0,0.30952380952380953,0.4556448907375822
2021-09-13,NDVI,8,-0.6904761904761906,0.057990318164572716,1.0,-0.6904761904761906,0.057990318164572716
2021-09-13,NDWI,8,0.6190476190476191,0.10173303745426478,-1.0,-0.6190476190476191,0.10173303745426478
2021-09-13,SAVI,8,-0.4047619047619048,0.3198886412288163,1.0,-0.4047619047619048,0.3198886412288163
2021-09-13,OSAVI,8,-0.6904761904761906,0.057990318164572716,1.0,-0.6904761904761906,0.057990318164572716
2021-09-13,EVI,8,-0.4523809523809524,0.2604047674368853,1.0,-0.4523809523809524,0.2604047674368853
2021-09-13,NDRE,8,-0.5476190476190477,0.16002564253889653,1.0,-0.5476190476190477,0.16002564253889653
2021-09-13,SNAP,8,-0.4761904761904762,0.23293553465009798,1.0,-0.4761904761904762,0.23293553465009798
2021-09-13,Copernicus,8,-0.4047619047619048,0.3198886412288163,1.0,-0.4047619047619048,0.3198886412288163
2021-10-04,NDVI,7,-0.5,0.2531699951003227,1.0,-0.5,0.2531699951003227
2021-10-04,NDWI,7,0.5,0.2531699951003227,-1.0,-0.5,0.2531699951003227
2021-10-04,SAVI,7,-0.5,0.2531699951003227,1.0,-0.5,0.2531699951003227
2021-10-04,OSAVI,7,-0.5,0.2531699951003227,1.0,-0.5,0.2531699951003227
2021-10-04,EVI,7,-0.39285714285714296,0.3833168704269727,1.0,-0.39285714285714296,0.3833168704269727
2021-10-04,NDRE,7,-0.5714285714285715,0.18020198891152767,1.0,-0.5714285714285715,0.18020198891152767
2021-10-04,SNAP,7,-0.4642857142857144,0.29393410760025196,1.0,-0.4642857142857144,0.29393410760025196
2021-10-04,Copernicus,7,-0.5,0.2531699951003227,1.0,-0.5,0.2531699951003227
2021-11-11,NDVI,8,0.523809523809524,0.1827207505397148,1.0,0.523809523809524,0.1827207505397148
2021-11-11,NDWI,8,-0.4761904761904762,0.23293553465009798,-1.0,0.4761904761904762,0.23293553465009798
2021-11-11,SAVI,8,0.4761904761904762,0.23293553465009798,1.0,0.4761904761904762,0.23293553465009798
2021-11-11,OSAVI,8,0.523809523809524,0.1827207505397148,1.0,0.523809523809524,0.1827207505397148
2021-11-11,EVI,8,0.4761904761904762,0.23293553465009798,1.0,0.4761904761904762,0.23293553465009798
2021-11-11,NDRE,8,0.4523809523809524,0.2604047674368853,1.0,0.4523809523809524,0.2604047674368853
2021-11-11,SNAP,8,-0.2380952380952381,0.5701563208157683,1.0,-0.2380952380952381,0.5701563208157683
2021-11-11,Copernicus,8,0.5389318178609666,0.16811803527951477,1.0,0.5389318178609666,0.16811803527951477
